Player,team,Age,Pos,dominant_hand,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,TB,GIDP,SH,SF,IBB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,WAR,Awards
Luke Williams,braves,27.0,UT,Right,34.0,52.0,46.0,8.0,9.0,3.0,0.0,0.0,4.0,3.0,0.0,4.0,13.0,1.0,12.0,1.0,1.0,0.0,0.0,0.196,0.275,0.261,0.535,51.0,0.277,59.0,0.2,
Eli White,braves,30.0,UT,Right,35.0,42.0,39.0,9.0,11.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,12.0,2.0,17.0,1.0,0.0,0.0,0.0,0.282,0.333,0.436,0.769,113.0,0.33,105.0,0.3,
Forrest Wall,braves,28.0,LF,Left,13.0,32.0,29.0,3.0,7.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.241,0.313,0.241,0.554,58.0,0.222,49.0,0.0,
Nacho Alvarez Jr.,braves,21.0,IF,Right,8.0,32.0,30.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0,1.0,0.0,0.0,0.0,0.1,0.156,0.1,0.256,-26.0,0.129,-37.0,-0.5,
Luis Guillorme,braves,29.0,MI,Left,9.0,21.0,20.0,2.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.15,0.19,0.25,0.44,22.0,0.189,6.0,-0.2,
J.P. Martínez,braves,28.0,OF,Left,7.0,10.0,10.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,37.0,0.328,89.0,0.0,
David Fletcher,braves,30.0,2B,Right,5.0,9.0,8.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.25,0.222,0.25,0.472,32.0,0.188,6.0,0.0,
Cavan Biggio,braves,29.0,2B,Left,4.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,12.0,0.179,-2.0,-0.2,
Brian Anderson,braves,31.0,UT,Right,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-132.0,-0.2,
Team Totals,braves,,,Right,162.0,6075.0,5481.0,704.0,1333.0,273.0,15.0,213.0,674.0,69.0,20.0,485.0,1461.0,58.0,2275.0,119.0,9.0,39.0,11.0,0.243,0.309,0.415,0.724,100.0,0.321,101.0,19.8,
Gunnar Henderson,orioles,23.0,SS,Left,159.0,719.0,630.0,118.0,,31.0,7.0,37.0,92.0,21.0,4.0,78.0,159.0,7.0,333.0,2.0,0.0,4.0,1.0,0.281,0.364,0.529,0.893,155.0,0.385,157.0,9.1,ASMVP-4
Adley Rutschman,orioles,26.0,C,Both,148.0,638.0,571.0,68.0,,21.0,1.0,19.0,79.0,1.0,0.0,58.0,103.0,2.0,223.0,9.0,0.0,7.0,3.0,0.25,0.318,0.391,0.709,105.0,0.313,107.0,3.4,AS
Anthony Santander,orioles,29.0,RF,Both,155.0,665.0,595.0,91.0,,25.0,2.0,44.0,102.0,2.0,0.0,58.0,129.0,7.0,301.0,9.0,0.0,5.0,3.0,0.235,0.308,0.506,0.814,131.0,0.346,131.0,2.9,ASMVP-14SS
Ryan Mountcastle,orioles,27.0,1B,Right,124.0,507.0,473.0,54.0,,30.0,2.0,13.0,63.0,3.0,0.0,27.0,114.0,1.0,201.0,13.0,0.0,6.0,0.0,0.271,0.308,0.425,0.733,110.0,0.323,114.0,2.6,
Colton Cowser,orioles,24.0,LF,Left,153.0,561.0,499.0,77.0,,24.0,3.0,24.0,69.0,9.0,4.0,52.0,172.0,7.0,223.0,9.0,0.0,3.0,2.0,0.242,0.321,0.447,0.768,120.0,0.329,119.0,3.1,ROY-2
Ryan O'Hearn,orioles,30.0,DH,Left,142.0,494.0,443.0,60.0,,21.0,3.0,15.0,59.0,3.0,1.0,46.0,69.0,2.0,189.0,7.0,0.0,3.0,2.0,0.264,0.334,0.427,0.761,119.0,0.337,125.0,2.0,
Jordan Westburg,orioles,25.0,IF,Right,107.0,447.0,416.0,57.0,,26.0,5.0,18.0,63.0,6.0,3.0,22.0,97.0,7.0,200.0,5.0,1.0,1.0,0.0,0.264,0.312,0.481,0.792,126.0,0.34,127.0,2.4,AS
